Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Route Grade,Route Danger Rating
Death Flakes,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/114444130/death-flakes,3.0,-1,Boulder,V1 R,1,20.0,38.65058,-109.48477,V1,R
Rampage,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106135567/rampage,3.0,-1,Boulder,V3,1,18.0,38.65058,-109.48477,V3,
Press tight,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/112359419/press-tight,2.5,-1,Boulder,V3,1,15.0,38.65058,-109.48477,V3,
The Grim Reacher,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106135578/the-grim-reacher,3.6,-1,Boulder,V5,1,25.0,38.65058,-109.48477,V5,
Circus Trick,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/105717433/circus-trick,3.8,-1,Boulder,V6,1,,38.65058,-109.48477,V6,
Circus Trick Right,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106127755/circus-trick-right,3.7,-1,Boulder,V6,1,15.0,38.65058,-109.48477,V6,
Chaos,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106013793/chaos,4.0,-1,Boulder,V8,1,25.0,38.65058,-109.48477,V8,
Hell Belly Stand,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107957139/hell-belly-stand,4.0,-1,Boulder,V8,1,,38.65058,-109.48477,V8,
Grim Reacher Direct,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/109990646/grim-reacher-direct,4.0,-1,Boulder,V8,1,30.0,38.65058,-109.48477,V8,
Phantom Fighter (Stand),Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/109990741/phantom-fighter-stand,3.5,-1,Boulder,V9,1,20.0,38.65058,-109.48477,V9,
Hell Belly,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106379808/hell-belly,4.0,-1,Boulder,V10-11,1,,38.65058,-109.48477,V10-11,
Phantom Fighter,Chaos Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/105804658/phantom-fighter,3.5,-1,Boulder,V11,1,,38.65058,-109.48477,V11,
Back Alley,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/112386213/back-alley,2.3,-1,Boulder,V0 PG13,1,,38.65081,-109.48462,V0,PG13
Back Alley Left,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/112386225/back-alley-left,2.7,-1,Boulder,V0+ PG13,1,,38.65081,-109.48462,V0+,PG13
Center Start,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106115877/center-start,2.5,-1,Boulder,V1,1,,38.65081,-109.48462,V1,
Slots of Fun,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106115881/slots-of-fun,2.7,-1,Boulder,V2,1,,38.65081,-109.48462,V2,
Arete Left Side,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/105804667/arete-left-side,3.1,-1,Boulder,V3,1,,38.65081,-109.48462,V3,
Center Direct,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/109054130/center-direct,2.6,-1,Boulder,V3,1,15.0,38.65081,-109.48462,V3,
Traverse Slots,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/127391870/traverse-slots,3.0,-1,Boulder,V3,1,15.0,38.65081,-109.48462,V3,
Arete Right Side,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/105804671/arete-right-side,2.9,-1,Boulder,V3+,1,,38.65081,-109.48462,V3+,
Shorter Traverse,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/123952264/shorter-traverse,2.8,-1,Boulder,V5,1,20.0,38.65081,-109.48462,V5,
Bum Steer,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/117402846/bum-steer,2.3,-1,Boulder,V6,1,13.0,38.65081,-109.48462,V6,
Arete Left Side Sit Start,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107931799/arete-left-side-sit-start,2.5,-1,Boulder,V7,1,,38.65081,-109.48462,V7,
Blue Light,The Black Box > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107932354/blue-light,4.0,-1,Boulder,V9,1,,38.65081,-109.48462,V9,
Kick Start,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106115856/kick-start,1.5,-1,Boulder,V0,1,,38.65048,-109.48474,V0,
Leftover Lover,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106115860/leftover-lover,2.3,-1,Boulder,V0,1,,38.65048,-109.48474,V0,
The Crimp Challenge,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106115852/the-crimp-challenge,1.4,-1,Boulder,V2,1,,38.65048,-109.48474,V2,
Lip Traverse,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106115864/lip-traverse,2.0,-1,Boulder,V2,1,,38.65048,-109.48474,V2,
The Pregnancy Arete,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107931744/the-pregnancy-arete,2.7,-1,Boulder,V2+,1,,38.65048,-109.48474,V2+,
Mr. Trujillo's Big Day,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/105916291/mr-trujillos-big-day,2.9,-1,Boulder,V2-3,1,12.0,38.65048,-109.48474,V2-3,
Kick Start Low,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107931731/kick-start-low,1.9,-1,Boulder,V3,1,,38.65048,-109.48474,V3,
Silly Wabbit,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107492628/silly-wabbit,2.8,-1,Boulder,V3+,1,,38.65048,-109.48474,V3+,
Dyno for Dollars,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106115871/dyno-for-dollars,2.4,-1,Boulder,V4,1,,38.65048,-109.48474,V4,
Double Crimp,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107492624/double-crimp,2.3,-1,Boulder,V4,1,,38.65048,-109.48474,V4,
1000 LB Caboose,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107931740/1000-lb-caboose,2.4,-1,Boulder,V5-6,1,,38.65048,-109.48474,V5-6,
Unknown,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/116630426/unknown,2.0,-1,Boulder,V6-,1,15.0,38.65048,-109.48474,V6-,
Sticky's Arete,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/121899177/stickys-arete,4.0,-1,Boulder,V6+,1,10.0,38.65048,-109.48474,V6+,
Shot Hole Traverse,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106870906/shot-hole-traverse,2.0,-1,Boulder,V7,1,12.0,38.65048,-109.48474,V7,
Skinless Dyno,Flat Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/121750392/skinless-dyno,2.5,-1,Boulder,V10,1,10.0,38.65048,-109.48474,V10,
schizzle,Titanic Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106280485/schizzle,3.0,-1,Boulder,V5-,1,14.0,38.6276,-109.4966,V5-,
Satya,Titanic Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106203495/satya,4.0,-1,Boulder,V9-10 PG13,1,35.0,38.6276,-109.4966,V9-10,PG13
Space Needle,North Big Bend Boulders > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/117339587/space-needle,4.0,-1,Boulder,V8,1,25.0,38.6276,-109.4966,V8,
LSD Saint,North Big Bend Boulders > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106203523/lsd-saint,4.0,-1,Boulder,V11-12 R,1,25.0,38.6276,-109.4966,V11-12,R
Slopey,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107719879/slopey,2.2,-1,Boulder,V0+ PG13,1,15.0,38.64984,-109.47815,V0+,PG13
Descent,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/121743416/descent,3.0,-1,Boulder,V1,1,,38.64984,-109.47815,V1,
Block Shock,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106960653/block-shock,2.3,-1,Boulder,V3,1,10.0,38.64984,-109.47815,V3,
Block Pock,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/120316260/block-pock,2.1,-1,Boulder,V3,1,,38.64984,-109.47815,V3,
Brown Power,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106347517/brown-power,3.6,-1,Boulder,V4,1,10.0,38.64984,-109.47815,V4,
Squashed Arete,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/114096020/squashed-arete,2.4,-1,Boulder,V4,1,10.0,38.64984,-109.47815,V4,
Block Party,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106960646/block-party,3.5,-1,Boulder,V5,1,12.0,38.64984,-109.47815,V5,
Slappin the Block,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107492580/slappin-the-block,2.4,-1,Boulder,V6,1,,38.64984,-109.47815,V6,
Whodunnit,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107492589/whodunnit,2.5,-1,Boulder,V7-,1,,38.64984,-109.47815,V7-,
Slappin' The Block Sit Start,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107931839/slappin-the-block-sit-start,2.8,-1,Boulder,V8-,1,,38.64984,-109.47815,V8-,
Five Finger DIscount,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106845593/five-finger-discount,3.5,-1,Boulder,V9,1,12.0,38.64984,-109.47815,V9,
Eric's,Block Top Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107931852/erics,3.0,-1,Boulder,V9+,1,,38.64984,-109.47815,V9+,
Short Stuff,The Punisher Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107931756/short-stuff,1.9,-1,Boulder,V1,1,,38.65037,-109.48562,V1,
Mueve se!,The Punisher Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106156004/mueve-se,0.8,-1,Boulder,V2,1,9.0,38.65037,-109.48562,V2,
The Punisher,The Punisher Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107543785/the-punisher,2.7,-1,Boulder,V2,1,,38.65037,-109.48562,V2,
La Derecha,The Punisher Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/106148146/la-derecha,2.3,-1,Boulder,V2-3,1,10.0,38.65037,-109.48562,V2-3,
Blankety Stand,The Punisher Boulder > Big Bend Bouldering Area > River Road > Grand County > Southeast Utah > Utah,https://www.mountainproject.com/route/107924308/blankety-stand,2.4,-1,Boulder,V4-,1,10.0,38.65037,-109.48562,V4-,
