Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
West Face [The Capstan],The Capstan > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105748059/west-face-the-capstan,3.0,-1,"TR, Boulder",5.10a V1,1,,40.00276,-105.29548,5.10,V1,
South Crack,The Capstan > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105749272/south-crack,3.0,-1,Boulder,V3 X,1,,40.00276,-105.29548,,V3,X
Easy Solo,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105749214/easy-solo,2.4,-1,Boulder,V0,1,,40.00272,-105.29477,,V0,
Moderate Bulge,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105749231/moderate-bulge,2.6,-1,Boulder,V1,1,,40.00272,-105.29477,,V1,
Sailor's Delight,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/107282375/sailors-delight,3.8,-1,Boulder,V1 X,1,,40.00272,-105.29477,,V1,X
Contemplation,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105749222/contemplation,2.8,-1,Boulder,V2 R,1,,40.00272,-105.29477,,V2,R
East Inside Corner,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105761961/east-inside-corner,2.0,-1,Boulder,V2,1,,40.00272,-105.29477,,V2,
Allegro Bulge,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106931101/allegro-bulge,2.5,-1,Boulder,V2,1,10.0,40.00272,-105.29477,,V2,
Jump Start of Faith,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/107669134/jump-start-of-faith,2.7,-1,Boulder,V2,1,10.0,40.00272,-105.29477,,V2,
Shibby,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105759489/shibby,2.3,-1,Boulder,V3,1,10.0,40.00272,-105.29477,,V3,
Alcove East Overhang,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106842601/alcove-east-overhang,3.0,-1,Boulder,V3,1,,40.00272,-105.29477,,V3,
Traverse Ramp,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105749208/traverse-ramp,2.1,-1,Boulder,V4,1,,40.00272,-105.29477,,V4,
The Consideration,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105754807/the-consideration,3.2,-1,Boulder,V4,1,,40.00272,-105.29477,,V4,
The Corridor Problem,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106149504/the-corridor-problem,2.5,-1,Boulder,V4,1,10.0,40.00272,-105.29477,,V4,
Alcove East Overhang Low,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/123721753/alcove-east-overhang-low,1.3,-1,Boulder,V4,1,,40.00272,-105.29477,,V4,
Cloud Shadow Traverse,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105749216/cloud-shadow-traverse,3.3,-1,Boulder,V4+,1,,40.00272,-105.29477,,V4+,
