user.name,user_dict
Michael Komarnitsky,"{'user_ID': 10101, 'user_name': 'Michael Komarnitsky', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Patrick Vernon,"{'user_ID': 10106, 'user_name': 'Patrick Vernon', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Jeremy Smith,"{'user_ID': 10173, 'user_name': 'Jeremy Smith', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
David A. Turner,"{'user_ID': 10405, 'user_name': 'David A. Turner', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Victor K,"{'user_ID': 11235, 'user_name': 'Victor K', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Ken Cangi,"{'user_ID': 14212, 'user_name': 'Ken Cangi', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Ryan Franz,"{'user_ID': 105796749, 'user_name': 'Ryan Franz', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Scott McMahon,"{'user_ID': 105797286, 'user_name': 'Scott McMahon', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Sena,"{'user_ID': 105812098, 'user_name': 'Sena', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
dbyte,"{'user_ID': 105839151, 'user_name': 'dbyte', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Dean Cool,"{'user_ID': 105846604, 'user_name': 'Dean Cool', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
