Route,likely_gender,comment
Sailor's Delight,male," V1= old school Colorado 5.11a, on an exposed roof. 2nd try. First try was 1-2 years ago tho. Came back this time with Bob Horan&#39;s beta, to setup for the big move. Did the big move to the jug static. Committing both hands spooky, but w/ R. heel hook, stayed static. Finding the topout took some figuring out, & was reachy. ground up, no pads"
The Consideration,male, Thing was hard. Maybe at 6’3” I just was too tall for the top movement to feel good. 
Y-Right,mostly_female, Pretty cool little easy short highball. Holds are worst at the topout but it's vertical/slabby there with big feat. Landing is reasonable.
Pinch Bulge,male," 4th try? No pad cause I’m dumb/poor. Used the crispy foot chip that aint long for this world and hucked to the positive nubbin, mellow spice locking the crack and pulling over. So fun. Agreed with the gb that it’s v2, esp if tall and/or use high Lheel "
The Long Traverse aka The Monkey Traverse,female, I went from right to left and topped out about mid route. Even that short part of the climb was so good!! Need to come back to project the full problem
Overhanging Hand Traverse,male, Bit tall near the top. Would love to have another pad
Burn Out,female, Trying to figure out the short people beta for the crux move. 
Burn Out,male, Weirdly reachy. But fun. 
The Pillar,female," Had to use short person beta / intermediate holds. Fun movement but the rock is ROUGH. Split my pinky open trying to deadpoint to the mid/upper right side-pull, must&#39;ve caught on a nasty little crystal in there. "
Class Dismissed,mostly_male, sit start move is not v0. also if short moreof squat start
Lunge Lesson,male, short but still fun
