Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Problem A,Gleaner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/107939656/problem-a,2.1,-1,Boulder,V0,1,10.0,37.41631,-118.44951,,V0,
Portal to the World,Gleaner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111729475/portal-to-the-world,1.6,-1,Boulder,V0,1,8.0,37.41631,-118.44951,,V0,
Ay Joe,Gleaner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/122357791/ay-joe,2.5,-1,Boulder,V0,1,,37.41631,-118.44951,,V0,
Joseph,Gleaner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106099420/joseph,2.5,-1,Boulder,V3,1,15.0,37.41631,-118.44951,,V3,
Gleaner Variation,Gleaner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/109877074/gleaner-variation,3.0,-1,Boulder,V5,1,15.0,37.41631,-118.44951,,V5,
The Gleaner,Gleaner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106099405/the-gleaner,3.2,-1,Boulder,V6,1,15.0,37.41631,-118.44951,,V6,
The Gleaner Sit,Gleaner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/112502006/the-gleaner-sit,3.0,-1,Boulder,V10,1,15.0,37.41631,-118.44951,,V10,
Meth Squealer,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/107064199/meth-squealer,1.8,-1,Boulder,V2,1,,37.41624,-118.44938,,V2,
All-Nighter,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/107032817/all-nighter,2.6,-1,Boulder,V3 R,1,25.0,37.41624,-118.44938,,V3,R
Dancing in the Street,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111683804/dancing-in-the-street,2.1,-1,Boulder,V4,1,,37.41624,-118.44938,,V4,
Weekender,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/105988476/weekender,3.2,-1,Boulder,V4,1,20.0,37.41624,-118.44938,,V4,
Rave Stand,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/125841327/rave-stand,2.6,-1,Boulder,V5+,1,,37.41624,-118.44938,,V5+,
Rave,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106381928/rave,3.1,-1,Boulder,V7,1,15.0,37.41624,-118.44938,,V7,
Dance the Night Away,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111683515/dance-the-night-away,2.5,-1,Boulder,V8,1,,37.41624,-118.44938,,V8,
Fast Dance,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/118490423/fast-dance,2.0,-1,Boulder,V9,1,12.0,37.41624,-118.44938,,V9,
Last Dance,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106129137/last-dance,2.7,-1,Boulder,V9,1,,37.41624,-118.44938,,V9,
Standing Kill Order,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/109757452/standing-kill-order,3.6,-1,Boulder,V10,1,12.0,37.41624,-118.44938,,V10,
Slow Dance,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111656550/slow-dance,2.0,-1,Boulder,V10,1,7.0,37.41624,-118.44938,,V10,
Kill On Sight,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/109757458/kill-on-sight,3.9,-1,Boulder,V11,1,15.0,37.41624,-118.44938,,V11,
