user.name,user_dict
Euan Cameron,"{'user_ID': 105908890, 'user_name': 'Euan Cameron', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Eli B,"{'user_ID': 106967283, 'user_name': 'Eli B', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
MP Testing Test,"{'user_ID': 200056064, 'user_name': 'MP Testing Test', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Herm Harrison,"{'user_ID': 200350043, 'user_name': 'Herm Harrison', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Ag47 C,"{'user_ID': 200847774, 'user_name': 'Ag47 C', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Yolan Caballero,"{'user_ID': 201533582, 'user_name': 'Yolan Caballero', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
b.gagnon,"{'user_ID': 106172388, 'user_name': 'b.gagnon', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Crimp Nasty,"{'user_ID': 106372949, 'user_name': 'Crimp Nasty', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Chris Humphries,"{'user_ID': 109124792, 'user_name': 'Chris Humphries', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Souvik Paul,"{'user_ID': 200126740, 'user_name': 'Souvik Paul', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Jared Hancock,"{'user_ID': 200160322, 'user_name': 'Jared Hancock', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Armin G,"{'user_ID': 200283123, 'user_name': 'Armin G', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Aleks Mekendorfer,"{'user_ID': 200306548, 'user_name': 'Aleks Mekendorfer', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Phil H,"{'user_ID': 200411912, 'user_name': 'Phil H', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
dan carpenter,"{'user_ID': 200429311, 'user_name': 'dan carpenter', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
John Bozigian IV,"{'user_ID': 200853905, 'user_name': 'John Bozigian IV', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Trisztan Tari,"{'user_ID': 201318920, 'user_name': 'Trisztan Tari', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Patrick Lu,"{'user_ID': 201882906, 'user_name': 'Patrick Lu', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Divi Schmidt,"{'user_ID': 202105672, 'user_name': 'Divi Schmidt', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Emma Ruppell,"{'user_ID': 106424595, 'user_name': 'Emma Ruppell', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Bruce Muller,"{'user_ID': 106809240, 'user_name': 'Bruce Muller', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Isla336,"{'user_ID': 112362771, 'user_name': 'Isla336', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Gavin Coelho,"{'user_ID': 200079830, 'user_name': 'Gavin Coelho', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Pegor Karoglanian,"{'user_ID': 200146672, 'user_name': 'Pegor Karoglanian', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Isaac Roter,"{'user_ID': 200176852, 'user_name': 'Isaac Roter', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Kai H,"{'user_ID': 200249761, 'user_name': 'Kai H', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
possum land,"{'user_ID': 200280347, 'user_name': 'possum land', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Haley Gibbs,"{'user_ID': 200381888, 'user_name': 'Haley Gibbs', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Andrew Foster,"{'user_ID': 200393229, 'user_name': 'Andrew Foster', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
