Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Backside Crack,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/108010816/backside-crack,2.5,-1,Boulder,V0,1,20.0,37.3388,-118.5776,,V0,
Burned and Bare,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/108880968/burned-and-bare,2.4,-1,Boulder,V0,1,15.0,37.3388,-118.5776,,V0,
Roadside Crack,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/107956819/roadside-crack,2.5,-1,Boulder,V1,1,20.0,37.3388,-118.5776,,V1,
To Kill Ya Corner,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106029305/to-kill-ya-corner,3.0,-1,Boulder,V3,1,,37.3388,-118.5776,,V3,
Perry's Pose,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111683780/perrys-pose,2.8,-1,Boulder,V3,1,10.0,37.3388,-118.5776,,V3,
Grommit,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106381955/grommit,3.7,-1,Boulder,V4,1,15.0,37.3388,-118.5776,,V4,
The Ruckus (aka Seven Spanish Angels),Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106070976/the-ruckus-aka-seven-spanish-angels,3.9,-1,Boulder,V6,1,14.0,37.3388,-118.5776,,V6,
Get Carter,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106070980/get-carter,3.1,-1,Boulder,V7,1,15.0,37.3388,-118.5776,,V7,
Unnamed,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106132731/unnamed,3.4,-1,Boulder,V7,1,,37.3388,-118.5776,,V7,
Flecheros,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/118358069/flecheros,3.5,-1,Boulder,V8,1,20.0,37.3388,-118.5776,,V8,
Adam Cocaine,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/120215376/adam-cocaine,2.0,-1,Boulder,V8,1,,37.3388,-118.5776,,V8,
Battle Royale,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/202644732/battle-royale,3.0,-1,Boulder,V8,1,8.0,37.3388,-118.5776,,V8,
Michael Caine,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106070972/michael-caine,2.9,-1,Boulder,V9,1,15.0,37.3388,-118.5776,,V9,
Twin Cracks,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/109646283/twin-cracks,3.3,-1,Boulder,V9,1,,37.3388,-118.5776,,V9,
To Kill Ya Corner Sit Start,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/120099037/to-kill-ya-corner-sit-start,2.6,-1,Boulder,V9,1,,37.3388,-118.5776,,V9,
Seven Spanish Angels Sit,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/120215390/seven-spanish-angels-sit,3.0,-1,Boulder,V10,1,,37.3388,-118.5776,,V10,
Each One Teach One,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/120099048/each-one-teach-one,3.2,-1,Boulder,V11-,1,,37.3388,-118.5776,,V11-,
Don't look up,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/202534879/dont-look-up,3.0,-1,Boulder,V11,1,,37.3388,-118.5776,,V11,
Michael Caine Sit Start,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/113891171/michael-caine-sit-start,3.7,-1,Boulder,V12,1,15.0,37.3388,-118.5776,,V12,
A Scanner Darkly,Get Carter Boulder > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111684005/a-scanner-darkly,3.6,-1,Boulder,V12+,1,,37.3388,-118.5776,,V12+,
Checkerboard Crack,The Checkerboard Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106705993/checkerboard-crack,1.8,-1,Boulder,V5,1,14.0,37.32544,-118.58067,,V5,
Checkerboard,The Checkerboard Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/106129151/checkerboard,4.0,-1,Boulder,V8,1,20.0,37.32544,-118.58067,,V8,
Checkerboard Direct,The Checkerboard Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111730089/checkerboard-direct,1.0,-1,Boulder,V8 R,1,21.0,37.32544,-118.58067,,V8,R
Checkerboard Right,The Checkerboard Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111726453/checkerboard-right,3.3,-1,Boulder,V9,1,20.0,37.32544,-118.58067,,V9,
King Me,The Checkerboard Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111726445/king-me,3.0,-1,Boulder,V10,1,18.0,37.32544,-118.58067,,V10,
Edge of Reason,Edge of Reason Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111730011/edge-of-reason,2.8,-1,Boulder,V3,1,13.0,37.32508,-118.58025,,V3,
"No Sense, No Reason",Edge of Reason Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111730042/no-sense-no-reason,3.1,-1,Boulder,V5,1,13.0,37.32508,-118.58025,,V5,
Colin Goes Mental,Edge of Reason Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111735874/colin-goes-mental,2.3,-1,Boulder,V7,1,20.0,37.32508,-118.58025,,V7,
Freeze All Cylinders,Edge of Reason Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111726462/freeze-all-cylinders,2.7,-1,Boulder,V8,1,20.0,37.32508,-118.58025,,V8,
Freeze Short,Edge of Reason Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/125801422/freeze-short,3.7,-1,Boulder,V8,1,15.0,37.32508,-118.58025,,V8,
Knight,The Knight Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/111729996/knight,2.5,-1,Boulder,V5,1,15.0,37.32544,-118.57988,,V5,
Draughts,Chess Boulder > Checkerboard Area > Buttermilk Country > Bishop Area > Eastern Sierra > California,https://www.mountainproject.com/route/125769221/draughts,2.0,-1,Boulder,V0,1,12.0,37.32547,-118.57997,,V0,
