user.name,Buttermilks occurences,user_dict
Jason Akua Makana Petty,221,"{'user_ID': 108295877, 'user_name': 'Jason Akua Makana Petty', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Andy L,217,"{'user_ID': 106662570, 'user_name': 'Andy L', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Troy Fauteux,129,"{'user_ID': 111204599, 'user_name': 'Troy Fauteux', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
AWinters,126,"{'user_ID': 105941791, 'user_name': 'AWinters', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Brendan Cathcart,125,"{'user_ID': 109293842, 'user_name': 'Brendan Cathcart', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Riley K,121,"{'user_ID': 200092977, 'user_name': 'Riley K', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Susan Reed,111,"{'user_ID': 200065329, 'user_name': 'Susan Reed', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Euan Cameron,105,"{'user_ID': 105908890, 'user_name': 'Euan Cameron', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Dan-Dan Noodle,104,"{'user_ID': 201058654, 'user_name': 'Dan-Dan Noodle', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Michael Brady,102,"{'user_ID': 109227367, 'user_name': 'Michael Brady', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Wyatt N,95,"{'user_ID': 200993003, 'user_name': 'Wyatt N', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Brad Fauteux,93,"{'user_ID': 111265335, 'user_name': 'Brad Fauteux', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Marty Lewis,93,"{'user_ID': 108219613, 'user_name': 'Marty Lewis', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
C C,93,"{'user_ID': 107502910, 'user_name': 'C C', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Katie Mayo,90,"{'user_ID': 201152600, 'user_name': 'Katie Mayo', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Josh Lowy,88,"{'user_ID': 112060545, 'user_name': 'Josh Lowy', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Andrew Foster,86,"{'user_ID': 200393229, 'user_name': 'Andrew Foster', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Stevie Ray,83,"{'user_ID': 200146775, 'user_name': 'Stevie Ray', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Ashley Swenson,79,"{'user_ID': 200154779, 'user_name': 'Ashley Swenson', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
John Hickey,79,"{'user_ID': 110680880, 'user_name': 'John Hickey', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Will Tam,78,"{'user_ID': 111886467, 'user_name': 'Will Tam', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Jared Hancock,77,"{'user_ID': 200160322, 'user_name': 'Jared Hancock', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Matt Miccioli,77,"{'user_ID': 110941646, 'user_name': 'Matt Miccioli', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Reed Harvey,75,"{'user_ID': 107210348, 'user_name': 'Reed Harvey', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Cody Sargeant,73,"{'user_ID': 200146843, 'user_name': 'Cody Sargeant', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
EChristensen,73,"{'user_ID': 106265516, 'user_name': 'EChristensen', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
me ow,69,"{'user_ID': 110083930, 'user_name': 'me ow', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Vlad S,69,"{'user_ID': 107684774, 'user_name': 'Vlad S', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Tyler Karow,68,"{'user_ID': 200093609, 'user_name': 'Tyler Karow', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Cris Pezoa,68,"{'user_ID': 200490697, 'user_name': 'Cris Pezoa', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
MP Testing Test,64,"{'user_ID': 200056064, 'user_name': 'MP Testing Test', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Neil Kauffman,63,"{'user_ID': 12258, 'user_name': 'Neil Kauffman', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
T H,61,"{'user_ID': 110752881, 'user_name': 'T H', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Daniel Padowitz,61,"{'user_ID': 110693987, 'user_name': 'Daniel Padowitz', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Josh Harmon,60,"{'user_ID': 107499891, 'user_name': 'Josh Harmon', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Trisztan Tari,60,"{'user_ID': 201318920, 'user_name': 'Trisztan Tari', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Danny Jay,58,"{'user_ID': 108037898, 'user_name': 'Danny Jay', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Justin Wang,57,"{'user_ID': 110224429, 'user_name': 'Justin Wang', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Tavis Ricksecker,57,"{'user_ID': 105902903, 'user_name': 'Tavis Ricksecker', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Eric Bonilla,56,"{'user_ID': 200226064, 'user_name': 'Eric Bonilla', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Brent Barghahn,56,"{'user_ID': 109143278, 'user_name': 'Brent Barghahn', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Matt Haig,56,"{'user_ID': 107679560, 'user_name': 'Matt Haig', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Christian Wong,55,"{'user_ID': 201084788, 'user_name': 'Christian Wong', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Brandon Matthes,54,"{'user_ID': 107839248, 'user_name': 'Brandon Matthes', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Max Clark,54,"{'user_ID': 201500577, 'user_name': 'Max Clark', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Dylan Jensen,54,"{'user_ID': 200145465, 'user_name': 'Dylan Jensen', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Daniel Heins,54,"{'user_ID': 112080844, 'user_name': 'Daniel Heins', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Nate Redon,53,"{'user_ID': 107995117, 'user_name': 'Nate Redon', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Anahita J,53,"{'user_ID': 201035829, 'user_name': 'Anahita J', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
david quatro,52,"{'user_ID': 105801037, 'user_name': 'david quatro', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Duke Lettieri,52,"{'user_ID': 108791455, 'user_name': 'Duke Lettieri', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Gabe De La Rosa,52,"{'user_ID': 107852119, 'user_name': 'Gabe De La Rosa', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Tim Iwako,52,"{'user_ID': 200065857, 'user_name': 'Tim Iwako', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
jphoney82,51,"{'user_ID': 109457506, 'user_name': 'jphoney82', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Akela Craviotto Velasco,51,"{'user_ID': 111810611, 'user_name': 'Akela Craviotto Velasco', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Ivan Szlngwcz,51,"{'user_ID': 109941182, 'user_name': 'Ivan Szlngwcz', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Lenore Sparks,50,"{'user_ID': 105946523, 'user_name': 'Lenore Sparks', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Caleb Nylin,50,"{'user_ID': 200625573, 'user_name': 'Caleb Nylin', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Amanda J,50,"{'user_ID': 200255064, 'user_name': 'Amanda J', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
