Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Joy Ride,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106871118/joy-ride,2.0,-1,Boulder,V0-1,1,,41.20228,-105.26702,,V0-1,
Sweet Sweet Lovin',Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105764196/sweet-sweet-lovin,2.8,-1,Boulder,V1,1,10.0,41.20228,-105.26702,,V1,
Jump Start V1,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105764208/jump-start-v1,2.0,-1,Boulder,V1,1,10.0,41.20228,-105.26702,,V1,
10,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/112808730/10,2.0,-1,Boulder,V1,1,,41.20228,-105.26702,,V1,
Lost My Lighter,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/117299601/lost-my-lighter,2.0,-1,Boulder,V1,1,10.0,41.20228,-105.26702,,V1,
Unnamed Warm-ups,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/112808687/unnamed-warm-ups,2.0,-1,Boulder,V1-2,1,,41.20228,-105.26702,,V1-2,
Turd Farmer,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106112086/turd-farmer,3.0,-1,Boulder,V2-3,1,,41.20228,-105.26702,,V2-3,
"Mantel/Hump, V3",Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105764205/mantelhump-v3,2.5,-1,Boulder,V3,1,10.0,41.20228,-105.26702,,V3,
The Calving Process,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106801286/the-calving-process,2.0,-1,Boulder,V3,1,7.0,41.20228,-105.26702,,V3,
Unknown  2,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/112808597/unknown-2,3.5,-1,Boulder,V3,1,,41.20228,-105.26702,,V3,
6,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/112808642/6,1.0,-1,Boulder,V3,1,,41.20228,-105.26702,,V3,
Emu Dreamer,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/112808667/emu-dreamer,2.0,-1,Boulder,V4,1,,41.20228,-105.26702,,V4,
Don't Fence Me In (aka Suzuki Roof),Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106109551/dont-fence-me-in-aka-suzuki-roof,3.9,-1,Boulder,V4,1,,41.20228,-105.26702,,V4,
Skeavy Bastards,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106749281/skeavy-bastards,3.0,-1,Boulder,V4,1,15.0,41.20228,-105.26702,,V4,
Little America,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105764199/little-america,3.7,-1,Boulder,V5,1,10.0,41.20228,-105.26702,,V5,
Turd Farmer Traverse,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106608869/turd-farmer-traverse,2.0,-1,Boulder,V5,1,,41.20228,-105.26702,,V5,
"""40. Project""",Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106801261/40-project,3.0,-1,Boulder,V5,1,10.0,41.20228,-105.26702,,V5,
Superficial Man,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/112808554/superficial-man,1.0,-1,Boulder,V5+,1,,41.20228,-105.26702,,V5+,
Unknown,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106801293/unknown,3.0,-1,Boulder,V6,1,15.0,41.20228,-105.26702,,V6,
Dogfight,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/108255877/dogfight,3.0,-1,Boulder,V6+,1,13.0,41.20228,-105.26702,,V6+,
Apostrophe,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106749274/apostrophe,3.5,-1,Boulder,V8-,1,15.0,41.20228,-105.26702,,V8-,
Bug Boy Bulge,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/112808744/bug-boy-bulge,2.0,-1,Boulder,V8+,1,,41.20228,-105.26702,,V8+,
Desparado,Campjack Rocks > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106749263/desparado,4.0,-1,Boulder,V8-9,1,13.0,41.20228,-105.26702,,V8-9,
