user.name,Vedauwoo_Climbing occurences,user_dict
JNE,116,"{'user_ID': 105813840, 'user_name': 'JNE', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Bailey Moore,65,"{'user_ID': 200239843, 'user_name': 'Bailey Moore', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
bart cubrich 1,64,"{'user_ID': 108653005, 'user_name': 'bart cubrich 1', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Michael Molony,62,"{'user_ID': 105897447, 'user_name': 'Michael Molony', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
T D,41,"{'user_ID': 108678435, 'user_name': 'T D', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Orphaned,41,"{'user_ID': 105990845, 'user_name': 'Orphaned', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Kevin Macartney,37,"{'user_ID': 106271741, 'user_name': 'Kevin Macartney', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Chase Nelson,34,"{'user_ID': 112914515, 'user_name': 'Chase Nelson', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Squatting Bear,32,"{'user_ID': 105881068, 'user_name': 'Squatting Bear', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Alex Fox,31,"{'user_ID': 111700905, 'user_name': 'Alex Fox', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Brad Burns,29,"{'user_ID': 200283873, 'user_name': 'Brad Burns', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Robert Joyce,29,"{'user_ID': 107928932, 'user_name': 'Robert Joyce', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Hayley Welch,29,"{'user_ID': 200611703, 'user_name': 'Hayley Welch', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Evan Weisenberger,28,"{'user_ID': 111396798, 'user_name': 'Evan Weisenberger', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Kent Atkinson,28,"{'user_ID': 112565726, 'user_name': 'Kent Atkinson', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Johanna Jones,26,"{'user_ID': 107304553, 'user_name': 'Johanna Jones', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Zachary Lentsch,24,"{'user_ID': 200109806, 'user_name': 'Zachary Lentsch', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Zach Nelson,23,"{'user_ID': 200421424, 'user_name': 'Zach Nelson', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
richard magill,22,"{'user_ID': 10382, 'user_name': 'richard magill', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
John Howe,22,"{'user_ID': 200929798, 'user_name': 'John Howe', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
JAtkinson,21,"{'user_ID': 108153590, 'user_name': 'JAtkinson', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Kyle Hanus,21,"{'user_ID': 107814422, 'user_name': 'Kyle Hanus', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Sean,21,"{'user_ID': 200327940, 'user_name': 'Sean', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Big DogBurlyDiesel,20,"{'user_ID': 107800195, 'user_name': 'Big DogBurlyDiesel', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
J LO,20,"{'user_ID': 108311593, 'user_name': 'J LO', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Evan Martin,18,"{'user_ID': 106816817, 'user_name': 'Evan Martin', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Spencer C,18,"{'user_ID': 112207296, 'user_name': 'Spencer C', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Dan F,17,"{'user_ID': 106455331, 'user_name': 'Dan F', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Max Grocki,17,"{'user_ID': 112851025, 'user_name': 'Max Grocki', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Austin Garcia,16,"{'user_ID': 200226207, 'user_name': 'Austin Garcia', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Brice C,16,"{'user_ID': 108782947, 'user_name': 'Brice C', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Tanner H,16,"{'user_ID': 200325861, 'user_name': 'Tanner H', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Aidan O'Connor,16,"{'user_ID': 200890627, 'user_name': ""Aidan O'Connor"", 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
TradPrincess Eden,15,"{'user_ID': 110660719, 'user_name': 'TradPrincess Eden', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
